comd_one,comd_two,output
 C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NoLogo -Noninteractive -NoProfile -ExecutionPolicy Bypass  & 'C:\WINDOWS\CCM\SystemTemp\9d257433-1385-4c47-9503-a8ff9b83dd69.ps1'  , C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulu\1591258926\ulu.exe  --aua-channel =  hydra-win64  --aua-version =  1598506683  --aua-path =  C:\ProgramData\F-Secure\NS\default\GUTS2\hydra-win64\1598506683  ,Not-Similar
 C:\WINDOWS\system32\AUDIODG.EXE  0x550 0x528 , C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulu\1591258926\ulu.exe  --aua-channel =  capricorn-win64  --aua-version =  1596415616  --aua-path =  C:\ProgramData\F-Secure\NS\default\GUTS2\capricorn-win64\1596415616  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe  uninstall  C:\WINDOWS\assembly\NativeImages_v2.0.50727_32\Microsoft.Office.To#\1a99e3f8fb5f096b15a4ac8fea1e2142\Microsoft.Office.Tools.v9.0.ni.dll  /noroot /LegacyServiceBehavior , C:\WINDOWS\Lenovo\iMController\PluginHost\Lenovo.Modern.ImController.PluginHost.Device.exe  -name 426706d9-7872-4e54-b976-8d502930f6a4 -runas SYSTEM -pluginName LenovoAuthenticationPlugin -pluginVersion 1.3.0.13 ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 2f4 -InterruptEvent 0 -NGENProcess 1ec -Pipe 4fc -Comment  NGen Worker Process  , C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulu\1591258926\ulu_handler.exe  install virgo-win64 1596798220  C:\ProgramData\F-Secure\NS\default\GUTS2\virgo-win64\1596798220  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 214 -InterruptEvent 0 -NGENProcess 1b4 -Pipe 210 -Comment  NGen Worker Process  , C:\WINDOWS\System32\ibmpmsvc.exe  ,Not-Similar
 LogonUI.exe  /flags  :  0x0 /state0  :  0xa3004855 /state1  :  0x41c64e6d ,chcp ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent a30 -InterruptEvent 0 -NGENProcess 990 -Pipe a34 -Comment  NGen Worker Process  , C:\WINDOWS\system32\schtasks.exe  /Delete /TN  Adobe Acrobat Update Task  /f ,Not-Similar
 C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 2d8 -InterruptEvent 0 -NGENProcess 37c -Pipe 36c -Comment  NGen Worker Process  , C:\WINDOWS\Lenovo\iMController\PluginHost86\Lenovo.Modern.ImController.PluginHost.Device.exe  -name 92cd6656-263a-4b85-a095-93659c95d8e0 -runas SYSTEM -pluginName GenericTelemetryPlugin -pluginVersion 2.1.0.20 ,Not-Similar
 C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulu\1591258926\ulu.exe  --aua-channel =  ols-win64  --aua-version =  1582124234  --aua-path =  C:\ProgramData\F-Secure\NS\default\GUTS2\ols-win64\1582124234  , C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NoLogo -Noninteractive -NoProfile -ExecutionPolicy Bypass  & 'C:\WINDOWS\CCM\SystemTemp\8560760d-7972-421a-a144-3ecfd72d38e9.ps1'  ,Not-Similar
 C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulu\1591258926\ulu.exe  --aua-channel =  hydra-win64  --aua-version =  1593168628  --aua-path =  C:\ProgramData\F-Secure\NS\default\GUTS2\hydra-win64\1593168628  , C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  uninstall  C:\WINDOWS\assembly\NativeImages_v4.0.30319_64\Microsoft.Mc35b82c2#\52924177823b4a6d29fa9fb339f9613f\Microsoft.Mashup.OleDbProvider.ni.dll  /noroot /LegacyServiceBehavior ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 6d4 -InterruptEvent 0 -NGENProcess 350 -Pipe 3b0 -Comment  NGen Worker Process  , C:\WINDOWS\Lenovo\iMController\PluginHost\Lenovo.Modern.ImController.PluginHost.Device.exe  -name cc3369e1-f1fd-4bb1-bbc7-29697a06fe3c -runas SYSTEM -pluginName LenovoAuthenticationPlugin -pluginVersion 1.3.0.13 ,Not-Similar
"rundll32.exe  C:\WINDOWS\Installer\MSIDF6E.tmp  ,zzzzInvokeManagedCustomActionOutOfProc SfxCA_4644546 792 Microsoft.PowerBI.InstallationCustomActions!Microsoft.PowerBI.InstallationCustomActions.CustomActions.InstallSucceeded ","rundll32.exe  C:\WINDOWS\system32\davclnt.dll,DavSetCookie  ad.helsinki.fi  http://ad.helsinki.fi/home/z/zhussain/  ",Not-Similar
 C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulu\1591258926\ulu.exe  --aua-channel =  sensor-win-db  --aua-version =  1596077262  --aua-path =  C:\ProgramData\F-Secure\NS\default\GUTS2\sensor-win-db\1596077262  , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 2ec -InterruptEvent 0 -NGENProcess 368 -Pipe 338 -Comment  NGen Worker Process  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 1b0 -InterruptEvent 0 -NGENProcess 13c -Pipe 1ac -Comment  NGen Worker Process  , C:\Program Files (x86)\F-Secure\PSB\Ultralight\sensor\1585128330\fsatpn.exe  LlTd4o507FzrAI52mgBl 4prsVJNtQeYcxqMMpcB0 /ulsdk /mode = 2 /namespace = ul_default ,Not-Similar
consent.exe 8412 468 000002E85A831060 , C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 334 -InterruptEvent 0 -NGENProcess 284 -Pipe 26c -Comment  NGen Worker Process  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe  uninstall  C:\WINDOWS\assembly\NativeImages_v2.0.50727_32\Microsoft.VisualStu#\3aa269dacad6452f8cb42749d78aa96c\Microsoft.VisualStudio.Tools.Office.AppInfoDocument.v9.0.ni.dll  /noroot /LegacyServiceBehavior , regsvr32.exe  /s  C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulcore\1601904388\fsamsi64.dll  ,Not-Similar
 C:\WINDOWS\system32\CompatTelRunner.exe  -m  :  appraiser.dll -f  :  UpdateAvStatus -cv  :  m14YEdoRL0qnQYaz.3 , C:\WINDOWS\system32\schtasks.exe  /change /tn  Lenovo\ImController\TimebasedEvents\b43fbcf1-4781-4298-866e-64b9fa41e15f  /du  01:00  ,Not-Similar
 C:\WINDOWS\system32\backgroundTaskHost.exe  -ServerName  :  App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 2b4 -InterruptEvent 0 -NGENProcess 2c0 -Pipe 2bc -Comment  NGen Worker Process  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  uninstall  C:\WINDOWS\assembly\NativeImages_v4.0.30319_64\Microsoft.Ib04f5a19#\95dd4175fc2922df3dd7ad62646d9bb9\Microsoft.InfoNav.Data.Contracts.ni.dll  /noroot /LegacyServiceBehavior , C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulu\1591258926\ulu.exe  --aua-channel =  hydra-win64  --aua-version =  1594285106  --aua-path =  C:\ProgramData\F-Secure\NS\default\GUTS2\hydra-win64\1594285106  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 730 -InterruptEvent 0 -NGENProcess 6c8 -Pipe 714 -Comment  NGen Worker Process  , C:\WINDOWS\system32\AUDIODG.EXE  0x548 0x518 ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 8ec -InterruptEvent 0 -NGENProcess 850 -Pipe 8f8 -Comment  NGen Worker Process  , C:\WINDOWS\system32\DllHost.exe  /Processid  :  {3EB3C877-1F16-487C-9050-104DBCD66683} ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 2a0 -InterruptEvent 0 -NGENProcess 1f0 -Pipe 1f4 -Comment  NGen Worker Process  , C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NoLogo -Noninteractive -NoProfile -ExecutionPolicy Bypass  & 'C:\WINDOWS\CCM\SystemTemp\1458fcf9-eeb5-4819-8568-52098dffba5c.ps1'  ,Not-Similar
 C:\Program Files (x86)\F-Secure\PSB\Ultralight\sensor\1585128330\fsatpl.exe  PiqEcqS1aL57vw4Uo2gD l8cenJZG3m3maEcZlIZO /ulsdk /mode = 2 /namespace = ul_default , C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe   C:\WINDOWS\System32\schtasks.exe  /Create /XML  C:\ProgramData\Lenovo\ImController\Plugins\LenovoBatteryGaugePackage_\data\MaintenanceTask.xml  /TN \Lenovo\BatteryGauge\BatteryGaugeMaintenance ,Not-Similar
 C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NoLogo -Noninteractive -NoProfile -ExecutionPolicy Bypass  & 'C:\WINDOWS\CCM\SystemTemp\f04c19dc-53b9-4294-ab4b-038066e86704.ps1'  , C:\WINDOWS\system32\regsvr32.exe  /s  C:\Program Files (x86)\Zoom\bin\zOutlookIMUtil.dll  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 310 -InterruptEvent 0 -NGENProcess 234 -Pipe 31c -Comment  NGen Worker Process  , C:\Program Files (x86)\F-Secure\PSB\fs_latebound_32.exe  --install --customization  C:\ProgramData\F-Secure\NS\default\OneClient\Download\customization.zip  --namespace default ,Not-Similar
 LogonUI.exe  /flags  :  0x0 /state0  :  0xa059d855 /state1  :  0x41c64e6d , C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 390 -InterruptEvent 0 -NGENProcess 1f0 -Pipe 328 -Comment  NGen Worker Process  ,Not-Similar
 C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulu\1591258926\ulu.exe  --aua-channel =  capricorn-win64  --aua-version =  1593073654  --aua-path =  C:\ProgramData\F-Secure\NS\default\GUTS2\capricorn-win64\1593073654  , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 3fc -InterruptEvent 0 -NGENProcess 3f0 -Pipe 3f8 -Comment  NGen Worker Process  ,Not-Similar
 C:\Windows\syswow64\MsiExec.exe  -Embedding 63A4CE8F417263490FB3FE1E31EA84B9 E Global\MSI0000 , C:\WINDOWS\system32\SearchFilterHost.exe  0 772 776 784 8192 780 ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 3a0 -InterruptEvent 0 -NGENProcess 30c -Pipe 3b0 -Comment  NGen Worker Process  , C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulu\1591258926\ulu_handler.exe  install capricorn-win64 1602830755  C:\ProgramData\F-Secure\NS\default\GUTS2\capricorn-win64\1602830755  ,Not-Similar
" c:\WINDOWS\Microsoft.NET\Framework\v4.0.30319\ngen.exe  install  Microsoft.VisualStudio.Tools.Office.Runtime.Internal, Version=10.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a  /queue  :  3 /NoDependencies ", C:\WINDOWS\System32\svchost.exe  -k NetSvcs -p -s NcaSvc ,Not-Similar
 C:\Program Files\Bomgar\HY-Jump\bomgar-scc.exe  --cxn-factory-proxy-detect  support.it.helsinki.fi:443  ; 300 0  C:\ProgramData\proxy-1394476.tmp  , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 7bc -InterruptEvent 0 -NGENProcess 7a0 -Pipe 66c -Comment  NGen Worker Process  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 688 -InterruptEvent 0 -NGENProcess 658 -Pipe 674 -Comment  NGen Worker Process  , C:\WINDOWS\system32\CompatTelRunner.exe  -m  :  appraiser.dll -f  :  UpdateAvStatus -cv  :  pEx1XEFPuEOXM4Ru.3 ,Not-Similar
 C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulu\1591258926\ulu.exe  --aua-channel =  virgo-win64  --aua-version =  1593781101  --aua-path =  C:\ProgramData\F-Secure\NS\default\GUTS2\virgo-win64\1593781101  ,consent.exe 3556 776 0000016DD3C365E0 ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 898 -InterruptEvent 0 -NGENProcess 8d0 -Pipe 8a8 -Comment  NGen Worker Process  , C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  uninstall  C:\WINDOWS\assembly\NativeImages_v4.0.30319_64\Microsoft.Pffb13a05#\23a555a55122b229dd756a874d6db54e\Microsoft.PowerBI.ExplorationContracts.ni.dll  /noroot /LegacyServiceBehavior ,Not-Similar
" c:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  install  Microsoft.VisualStudio.Tools.Applications.Contract.v10.0, Version=10.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a  /queue  :  3 /NoDependencies ", C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent c18 -InterruptEvent 0 -NGENProcess a68 -Pipe c28 -Comment  NGen Worker Process  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 58c -InterruptEvent 0 -NGENProcess 500 -Pipe 3ac -Comment  NGen Worker Process  ,net stop fsnethoster ,Not-Similar
 C:\WINDOWS\system32\WerFault.exe  -k -l WATCHDOG WATCHDOG-20200731-0841.dmp , C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NoLogo -Noninteractive -NoProfile -ExecutionPolicy Bypass  & 'C:\WINDOWS\CCM\SystemTemp\45f7c268-35e6-4741-9eac-6da28f9bab96.ps1'  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  uninstall  C:\WINDOWS\assembly\NativeImages_v4.0.30319_64\Microsoft.P8aca42d3#\1d668177143e4ca0cf376ecd0c28eb16\Microsoft.PowerBI.Security.ni.dll  /noroot /LegacyServiceBehavior , C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NoLogo -Noninteractive -NoProfile -ExecutionPolicy Bypass  & 'C:\WINDOWS\CCM\SystemTemp\162964e2-1391-4f0c-bbe9-fa2010610e5c.ps1'  ,Not-Similar
 C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulu\1591258926\ulu_handler.exe  install sensor-win-db 1597123402  C:\ProgramData\F-Secure\NS\default\GUTS2\sensor-win-db\1597123402  , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 224 -InterruptEvent 0 -NGENProcess 210 -Pipe 220 -Comment  NGen Worker Process  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent e4 -InterruptEvent 0 -NGENProcess 2b4 -Pipe 2a4 -Comment  NGen Worker Process  , C:\WINDOWS\TEMP\6FF8A7EA-39EB-4333-BE46-C42E9F0BD03C\dismhost.exe  {BBD55FC0-D341-49FE-AC69-2AA6E7CB89A3} ,Not-Similar
 C:\WINDOWS\Lenovo\iMController\PluginHost86\Lenovo.Modern.ImController.PluginHost.Device.exe  -name b64a6c17-d637-4b88-bf3c-3d8589618033 -runas SYSTEM -pluginName GenericTelemetryPlugin -pluginVersion 2.1.0.20 , C:\WINDOWS\system32\compattelrunner.exe  -m  :  GeneralTel.dll -f  :  RunGeneralTelemetry -cV 5fZTI177h0ipRy0E.1.1 -SendFullTelemetry -ThrottleUtc ,Not-Similar
PIP install strsim , LogonUI.exe  /flags  :  0x0 /state0  :  0xa56d2855 /state1  :  0x41c64e6d ,Not-Similar
 C:\WINDOWS\Lenovo\iMController\PluginHost\Lenovo.Modern.ImController.PluginHost.Device.exe  -name 27bb4da0-67d8-433d-a210-e2f410f47deb -runas SYSTEM -pluginName LenovoAuthenticationPlugin -pluginVersion 1.3.0.13 , C:\Program Files (x86)\MS Office 2016\Office16\POWERPNT.EXE   C:\Users\RDS832708cf3b2a\study\internship\f-secure\meeting on friday 21-08.pptx  /ou    ,Not-Similar
 C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 334 -InterruptEvent 0 -NGENProcess 384 -Pipe 3f0 -Comment  NGen Worker Process  , LogonUI.exe  /flags  :  0x0 /state0  :  0xa626d055 /state1  :  0x41c64e6d ,Not-Similar
 C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 318 -InterruptEvent 0 -NGENProcess 43c -Pipe 4a0 -Comment  NGen Worker Process  , C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  uninstall  C:\WINDOWS\assembly\NativeImages_v2.0.50727_64\Microsoft.PowerShel#\11caf212c3af37d4719c3a2d25f9d775\Microsoft.PowerShell.Commands.Diagnostics.ni.dll  /noroot /LegacyServiceBehavior ,Not-Similar
 C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NoLogo -Noninteractive -NoProfile -ExecutionPolicy Bypass  & 'C:\WINDOWS\CCM\SystemTemp\dc325f64-4a2e-447d-841d-3701f8685792.ps1'  , C:\Windows\syswow64\MsiExec.exe  -Embedding 4CE267B2AEFCDBCC818E70E42EE5B29D E Global\MSI0000 ,Not-Similar
 C:\WINDOWS\system32\expand.exe  -F  :  *  C:\ProgramData\Lenovo\iMController\Temp\installer\SystemInterfaceFoundation.cab   C:\ProgramData\Lenovo\iMController\Temp\installer  , C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 370 -InterruptEvent 0 -NGENProcess 35c -Pipe 2c4 -Comment  NGen Worker Process  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 3cc -InterruptEvent 0 -NGENProcess 398 -Pipe 268 -Comment  NGen Worker Process  , C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  uninstall  C:\WINDOWS\assembly\NativeImages_v2.0.50727_64\Microsoft.VisualStu#\1356c07ae517b8f0d9b6b8120950f9c1\Microsoft.VisualStudio.Tools.Applications.Hosting.v10.0.ni.dll  /noroot /LegacyServiceBehavior ,Not-Similar
 C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulcore\1596540521\fsorsp64.exe  , C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulu\1591258926\ulu.exe  --aua-channel =  sensor-win-db  --aua-version =  1596175416  --aua-path =  C:\ProgramData\F-Secure\NS\default\GUTS2\sensor-win-db\1596175416  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 624 -InterruptEvent 0 -NGENProcess 778 -Pipe 760 -Comment  NGen Worker Process  , C:\Windows\Microsoft.NET\Framework64\v4.0.30319\NGenTask.exe  /StopEvent  :  1400 ,Not-Similar
 C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NoLogo -Noninteractive -NoProfile -ExecutionPolicy Bypass  & 'C:\WINDOWS\CCM\SystemTemp\427238e5-ee49-45f8-9168-8123512daad4.ps1'  , C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 534 -InterruptEvent 0 -NGENProcess 19c -Pipe 580 -Comment  NGen Worker Process  ,Not-Similar
 C:\Program Files (x86)\F-Secure\PSB\Ultralight\ulu\1591258926\ulu.exe  --aua-channel =  capricorn-win64  --aua-version =  1597862388  --aua-path =  C:\ProgramData\F-Secure\NS\default\GUTS2\capricorn-win64\1597862388  , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 760 -InterruptEvent 0 -NGENProcess 798 -Pipe 610 -Comment  NGen Worker Process  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 178 -InterruptEvent 0 -NGENProcess 1fc -Pipe 350 -Comment  NGen Worker Process  , C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NoLogo -Noninteractive -NoProfile -ExecutionPolicy Bypass  & 'C:\WINDOWS\CCM\SystemTemp\2e98c508-2aa4-42b7-903f-5d42540caf04.ps1'  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 364 -InterruptEvent 0 -NGENProcess 33c -Pipe 338 -Comment  NGen Worker Process  , C:\WINDOWS\system32\makecab.exe   C:\WINDOWS\Logs\CBS\CbsPersist_20200804060407.log   C:\WINDOWS\Logs\CBS\CbsPersist_20200804060407.cab  ,Not-Similar
git.exe remote add origin  https://github.com:Zafarhussain87/test_repo.git  , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe  -StartupEvent 7ac -InterruptEvent 0 -NGENProcess 7cc -Pipe 778 -Comment  NGen Worker Process  ,Not-Similar
 C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 4d0 -InterruptEvent 0 -NGENProcess 4cc -Pipe 414 -Comment  NGen Worker Process  , C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NoLogo -Noninteractive -NoProfile -ExecutionPolicy Bypass  & 'C:\WINDOWS\CCM\SystemTemp\d0bdfdf6-ac7a-4896-b6b6-d99fce267f1a.ps1'  ,Not-Similar
 C:\Windows\System32\WUDFHost.exe  -HostGUID  :  {193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName  :  \UMDFCommunicationPorts\WUDF\HostProcess-d8ac1eea-b406-41d2-88c2-635a1b7fb389 -SystemEventPortName  :  \UMDFCommunicationPorts\WUDF\HostProcess-401f0ecc-ae22-4ed7-9dbf-2f8d47fc51c4 -IoCancelEventPortName  :  \UMDFCommunicationPorts\WUDF\HostProcess-6460d9be-c2df-438b-b8db-c9c5100d355c -NonStateChangingEventPortName  :  \UMDFCommunicationPorts\WUDF\HostProcess-75f712ee-d5ad-4e95-891b-f430fdfc5560 -LifetimeId  :  ba72ccef-f8f9-4894-b0eb-28da93f04515 -DeviceGroupId  :  -HostArg  :  0 , C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe  -StartupEvent 72c -InterruptEvent 0 -NGENProcess 6bc -Pipe 650 -Comment  NGen Worker Process  ,Not-Similar
