comd_one,comd_two,output
 C:\WINDOWS\TEMP\217AAB03-5C66-4E59-91BF-AF2A7F3B955F\dismhost.exe  {C62CFCED-9919-4B18-A16C-11870AFDBFAF} , C:\WINDOWS\TEMP\47885689-3448-4D9F-B623-0A0B3328D028\dismhost.exe  {95F70736-586C-4413-B117-AE99882FBD1E} ,Similar
 C:\Program  Files (x86)\Zoom\bin\Zoom.exe --action = join --runaszvideo = TRUE , C:\Program  Files (x86)\Zoom\bin\Zoom.exe --action = preload --runaszvideo = TRUE --useroption = 4504149475459072 --useroption2 = 1170935903118426176 --useroption3 = 141837005455872 --haszoomim = 1 ,Similar
 C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\study\internship\vscode\f-secure_data\5fe277d7-b3a2-49f6-ac25-1b6330b5e7eb.txt  , C:\WINDOWS\system32\NOTEPAD.EXE  \\ad.helsinki.fi\home\z\zhussain\Desktop\corona_test.txt ,Similar
 C:\WINDOWS\System32\WaaSMedicAgent.exe  a22f2124c68df7f985017bc2d4794755 c8iRwDxn+UuW58Rz.0.0.0 , C:\WINDOWS\System32\WaaSMedicAgent.exe  a97025a85f30cd0f5c8aff172459fd6b pP1Q0T6PzEKUCBEZ.0.0.0 ,Similar
 C:\WINDOWS\TEMP\B1590E03-5801-4C89-8C1F-2B404C47D54A\dismhost.exe  {C10377B5-C096-4884-B2F7-E7527328EE47} , C:\WINDOWS\TEMP\F10D7C9B-B15E-48F2-94B6-7AE5C111A069\dismhost.exe  {4F939337-2FCF-4749-A4C9-B4359BA3688E} ,Similar
 c:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  install  c:\Program Files (x86)\Common Files\Microsoft Shared\VSTA\Pipeline.v10.0\HostSideAdapters\Microsoft.VisualStudio.Tools.Office.Outlook.HostAdapter.v10.0.dll  /queue  :  3 /NoDependencies ," c:\WINDOWS\Microsoft.NET\Framework\v4.0.30319\ngen.exe  install  Microsoft.Office.Tools.Excel, Version=10.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a  /queue  :  3 /NoDependencies ",Similar
 C:\ProgramData\F-Secure\NS\default\swup2\working\deployer\Patches\ace2016-kb4484431-fullfile-x86-glb.exe  /passive /norestart /quiet , C:\ProgramData\F-Secure\NS\default\swup2\working\deployer\Patches\excel2016-kb4484507-fullfile-x86-glb.exe  /passive /norestart /quiet ,Similar
" c:\WINDOWS\Microsoft.NET\Framework\v4.0.30319\ngen.exe  install  Microsoft.VisualStudio.Tools.Office.Outlook.HostAdapter.v10.0, Version=10.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a  /queue  :  3 /NoDependencies ", c:\WINDOWS\Microsoft.NET\Framework\v4.0.30319\ngen.exe  install  c:\Program Files (x86)\Common Files\Microsoft Shared\VSTA\Pipeline.v10.0\AddInSideAdapters\Microsoft.VisualStudio.Tools.Applications.AddInAdapter.v9.0.dll  /queue  :  3 /NoDependencies ,Similar
git commit -m ,git commit -m  i have added a test file  ,Similar
 C:\WINDOWS\TEMP\895BFD1F-4C71-4481-9F07-784FB42E01D7\dismhost.exe  {1B090F14-1172-432D-BEB3-0D8891925437} , C:\WINDOWS\TEMP\80C5DD4F-19BB-4485-A477-8ED76AB6C1A5\dismhost.exe  {025E966C-7DC7-4C4B-B55E-6F44482072AB} ,Similar
 C:\WINDOWS\TEMP\928E5EDF-4C8F-43D9-9B0D-EF4BCA335B32\dismhost.exe  {C779215C-3C71-4307-8E31-06A10DB74350} , C:\WINDOWS\TEMP\F10D7C9B-B15E-48F2-94B6-7AE5C111A069\dismhost.exe  {4F939337-2FCF-4749-A4C9-B4359BA3688E} ,Similar
 C:\WINDOWS\System32\WaaSMedicAgent.exe  27d44d3033658bb638c5127f2e504a30 V46yIv2S6ECjLvmtecxIqA.0.1.0.0.0 , C:\WINDOWS\System32\WaaSMedicAgent.exe  304962c347a6a42dadbca3fe62fb8220 3L7Yljy8AUOmMPLO.0.0.0 ,Similar
 C:\Program Files (x86)\F-Secure\PSB\fsadminaccess_32.exe  --code 76f0ece363788e176427a3ae274ffae1f7ce18fe80d7a2d93e87f2c134d08625 --name fsadminaccess_240115fd461522de5570317c9ba06145c288b61b14d35ecb974f52d3cf659409 , C:\Program Files (x86)\F-Secure\PSB\fsadminaccess_32.exe  --code ff475eff57bf7c2919bd6f9d7d2d2353568e40d8589f4d29f8cb9d62303a0a43 --name fsadminaccess_38408690d55a6b703d2348b245ba33463e57b6389c8a778abc2471e67c7db249 ,Similar
 C:\WINDOWS\TEMP\A396AD61-98C2-4FFF-BE66-B1CE45A49EAB\dismhost.exe  {7EC186EB-071F-429A-BA7D-12FBC451F208} , C:\WINDOWS\TEMP\B7F870F9-1A11-4D87-90B7-58E116787E70\dismhost.exe  {5D010F77-C0C1-4786-8382-F046BE7501AF} ,Similar
 C:\ProgramData\F-Secure\NS\default\swup2\working\deployer\Installation\InstallationSandbox#2020-10-02-T-12-28-18\STDeploy.exe  package= package.zip   relaunchSandbox=C:\ProgramData\F-Secure\NS\default\swup2\working\deployer\Installation\InstallationSandbox#2020-10-02-T-12-28-18  relaunchReason= afterPostDeploymentReboot=1  , C:\ProgramData\F-Secure\NS\default\swup2\working\deployer\Installation\InstallationSandbox#2020-10-02-T-12-28-18\stDeploy.exe   package=C:\ProgramData\F-Secure\NS\default\swup2\working\package.zip   baseDir=C:\ProgramData\F-Secure\NS\default\swup2\working\deployer  ,Similar
" c:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  install  Microsoft.VisualStudio.Tools.Office.Word.HostAdapter.v10.0, Version=10.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a  /queue  :  3 /NoDependencies ", c:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  install  c:\Program Files (x86)\Common Files\Microsoft Shared\VSTA\Pipeline.v10.0\AddInViews\Microsoft.Office.Tools.v9.0.dll  /queue  :  3 /NoDependencies ,Similar
 C:\WINDOWS\ccmcache\3g\Files\Firefox Setup 68.11.0esr.exe  -ms /ini =  'C:\WINDOWS\ccmcache\3g\SupportFiles\HY_Firefox.ini'  , C:\WINDOWS\ccmcache\3t\Files\Firefox Setup 68.12.0esr.exe  -ms /ini =  'C:\WINDOWS\ccmcache\3t\SupportFiles\HY_Firefox.ini'  ,Similar
DrvInst.exe  1   0   BTHENUM\{0000110b-0000-1000-8000-00805f9b34fb}_LOCALMFG&0002\7&394bf67&0&085688519745_C00000000         4d07e7cdf   0000000000000000  ,"DrvInst.exe  2   211   ROOT\SYSTEM\0002   C:\WINDOWS\INF\oem82.inf   imdriver.inf:c14ce884ab02dec3:LnvAppFrmDevice_Install:1.1.19.5:root\imdriverv2,   4294f16df   00000000000001E4  ",Similar
 C:\WINDOWS\TEMP\47885689-3448-4D9F-B623-0A0B3328D028\dismhost.exe  {95F70736-586C-4413-B117-AE99882FBD1E} , C:\WINDOWS\TEMP\850A56A5-DB51-41DD-A416-5F3E00910031\dismhost.exe  {E821F0E6-7104-4028-9593-63ACA59BC5B9} ,Similar
.\mingw64\bin\git.exe config --system  filter.lfs.process   git-lfs filter-process  ,.\mingw64\bin\git.exe config --system --unset  credential.https://dev.azure.com.useHttpPath  ,Similar
git.exe commit -m ,git.exe commit -m  this is for new branch  ,Similar
 C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\study\internship\Economics\data\text_files\companies\2457_1995_737.txt  , C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\study\internship\f-secure\fsecure  data\fsecure data\_year=2020\_month=6\_day=22\_sensor_id=85bd9b2f-cefb-45fe-9d39-36115b19f5d4\37745a56-bf14-4375-af61-cae24b0b98e7.jsonl ,Similar
 C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\study\PhD\things  to do.txt , C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\study\internship\f-secure\fsecure  data\fsecure data\_year=2020\_month=6\_day=22\_sensor_id=3e6599e7-f984-4167-9044-775638385318\2376d31a-a3ef-48f7-90e0-2d5316471562.jsonl ,Similar
 C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\study\internship\f-secure\fsecure  data\fsecure data\_year=2020\_month=6\_day=2\_sensor_id=85bd9b2f-cefb-45fe-9d39-36115b19f5d4\28eb0738-a75c-4eab-97ca-c9573ad40de4.jsonl , C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\study\internship\f-secure\meeting_points  03-07.txt ,Similar
 C:\WINDOWS\TEMP\03FE0572-E313-4BF5-B3FD-42F2EDCF7CA8\dismhost.exe  {D0DA92FD-FE8F-4DCE-B9D2-A6DA9E5258FD} , C:\WINDOWS\TEMP\2AD3EC3F-045C-448A-BE5A-EBB6C91C1D4A\dismhost.exe  {3DFBBEE4-AB16-49A0-9147-BD1037376CAB} ,Similar
 C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NonInteractive -NoProfile -ExecutionPolicy RemoteSigned -Command  & { . 'C:\WINDOWS\CCM\ScriptStore\7DC6B6F1-E7F6-43C1-96E0-E1D16BC25C14_54699952a4564fc5a6627d95da23f7ef23d490498258e604a32e5adfad8e6505.ps1' -kustoquery 'E:RSgwKSB8IHByb2plY3QgRGV2aWNlLCBPU1ViciB8IHdoZXJlIChPU1ViciA9PSAxMzM5KQ==' -select 'E:RGV2aWNlOkRldmljZSxDbGFzc1VwZGF0ZWQ6U3RyaW5nLENvbXB1dGVyTmFtZTpTdHJpbmcsSW5zdGFsbGVkQnlIWTpTdHJpbmcsT1NCdWlsZDpOdW1iZXIsT1NSZXZpc2lvbjpOdW1iZXIsT1NVYnI6TnVtYmVyLFdTVVNJbnN0YWxsOlN0cmluZyxXU1VTU2VhcmNoOlN0cmluZw==' -wmiquery 'E:cm9vdC9jaW12MjpTRUxFQ1QgQ2xhc3NVcGRhdGVkLENvbXB1dGVyTmFtZSxJbnN0YWxsZWRCeUhZLE9TQnVpbGQsT1NSZXZpc2lvbixPU1VicixXU1VTSW5zdGFsbCxXU1VTU2VhcmNoIEZST00gSFlDdXN0b21DbGFzcw=='  | ConvertTo-Json -Compress }   , C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe  -NonInteractive -NoProfile -ExecutionPolicy RemoteSigned -Command  & { . 'C:\WINDOWS\CCM\ScriptStore\7DC6B6F1-E7F6-43C1-96E0-E1D16BC25C14_54699952a4564fc5a6627d95da23f7ef23d490498258e604a32e5adfad8e6505.ps1' -kustoquery 'E:RSgwKSB8IHdoZXJlIChMb2dUZXh0IGNvbnRhaW5zICdUb3RhbCBhY3Rpb25hYmxlJyk=' -select 'E:RGV2aWNlOkRldmljZSxMb2dUZXh0OlN0cmluZyxEYXRlVGltZTpEYXRlVGltZSxDb21wb25lbnQ6U3RyaW5nLENvbnRleHQ6U3RyaW5nLFR5cGU6TnVtYmVyLFRocmVhZDpOdW1iZXIsRmlsZTpTdHJpbmc=' -wmiquery 'E:Q2NtTG9nKCdVcGRhdGVzRGVwbG95bWVudCcsODY0MDAp'  | ConvertTo-Json -Compress }   ,Similar
 C:\WINDOWS\System32\WaaSMedicAgent.exe  8df7e2172cd18a54b140212cf0ab797e W0EqdJCs0k6/xPxTnDdsqQ.0.1.0.0.0 , C:\WINDOWS\System32\WaaSMedicAgent.exe  a97025a85f30cd0f5c8aff172459fd6b pP1Q0T6PzEKUCBEZ.0.0.0 ,Similar
 C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\study\internship\vscode\0fe05168-fe8c-4a05-a673-e73bc092f976.jsonl.gz.txt  , C:\WINDOWS\system32\NOTEPAD.EXE  \\ad.helsinki.fi\home\z\zhussain\Desktop\corona_test.txt ,Similar
 C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\study\PhD\things  to do.txt , C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\study\internship\f-secure\fsecure  data\fsecure data\_year=2020\_month=6\_day=22\_sensor_id=85bd9b2f-cefb-45fe-9d39-36115b19f5d4\37745a56-bf14-4375-af61-cae24b0b98e7.jsonl ,Similar
 c:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  install  c:\Program Files (x86)\Common Files\Microsoft Shared\VSTA\Pipeline.v10.0\HostSideAdapters\Microsoft.VisualStudio.Tools.Applications.HostAdapter.v10.0.dll  /queue  :  3 /NoDependencies ," c:\WINDOWS\Microsoft.NET\Framework\v4.0.30319\ngen.exe  install  Microsoft.Office.Tools.Excel, Version=10.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a  /queue  :  3 /NoDependencies ",Similar
 C:\WINDOWS\System32\WaaSMedicAgent.exe  53f1c6241ed239f59b4aa85dab20ab0a V0NGDVWkFke41c4kPFe6Aw.0.1.0.0.0 , C:\WINDOWS\System32\WaaSMedicAgent.exe  7ad43b306fba7b64af22e4272759ecc2 K5odM8IFA0SjNMK8qUYRLA.0.1.0.0.0 ,Similar
 C:\WINDOWS\System32\WaaSMedicAgent.exe  e199acc060a1fe2618b52dac41c98aed MROUNatmfUGer5U01uSG+w.0.1.0.0.0 , C:\WINDOWS\System32\WaaSMedicAgent.exe  fbac091fcd4ed9f6354c7260ff219be0 hEmo4Y7LokieMcOBwtyXrw.0.1.0.0.0 ,Similar
" C:\WINDOWS\TEMP\is-RDROK.tmp\Git-2.27.0-64-bit.tmp  /SL5 =  $C40DA2,47414314,224256,C:\WINDOWS\ccmcache\3c\Files\Git-2.27.0-64-bit.exe  /VERYSILENT /NORESTART /SUPPRESSMSGBOXES "," C:\WINDOWS\TEMP\is-UO365.tmp\Git-2.28.0-64-bit.tmp  /SL5 =  $400CE,50455330,224256,C:\ProgramData\F-Secure\NS\default\swup2\working\deployer\Patches\Git-2.28.0-64-bit.exe  /VERYSILENT /SUPPRESSMSGBOXES /NORESTART /NOCANCEL ",Similar
" c:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  install  Microsoft.VisualStudio.Tools.Office.Runtime.Internal, Version=10.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a  /queue  :  3 /NoDependencies ", c:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\ngen.exe  install  c:\Program Files (x86)\Common Files\Microsoft Shared\VSTA\Pipeline.v10.0\AddInViews\Microsoft.Office.Tools.v9.0.dll  /queue  :  3 /NoDependencies ,Similar
 C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\study\internship\f-secure\fsecure  data\fsecure data\_year=2020\_month=6\_day=22\_sensor_id=85bd9b2f-cefb-45fe-9d39-36115b19f5d4\37745a56-bf14-4375-af61-cae24b0b98e7.jsonl.gz , C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\zhussain\study\internship\f-secure\meeting_points  21-08.txt ,Similar
 C:\WINDOWS\TEMP\225312BA-8B6C-4140-8DDA-D1E0A521D7BA\dismhost.exe  {6DD7B887-3BC6-440A-9B6F-F997BA9B1836} , C:\WINDOWS\TEMP\6AD75887-993A-4E31-90CA-49D7B131F54B\dismhost.exe  {CB5A0BFD-CD25-4A2E-81F9-05E7B04A1633} ,Similar
 C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\RDS21bde055271f\study\internship\f-secure\Juka  s points.txt , C:\WINDOWS\system32\NOTEPAD.EXE   C:\Users\RDS21bde055271f\study\internship\f-secure\fsecure  data\fsecure data\_year=2020\_month=6\_day=2\_sensor_id=85bd9b2f-cefb-45fe-9d39-36115b19f5d4\00d5664c-184b-417d-a79f-baa285453709.jsonl.gz ,Similar
 C:\WINDOWS\TEMP\7123B021-A23C-4AD4-B9AE-D04244569B9D\dismhost.exe  {A58A42A7-2B1D-4234-88FA-63C229E1AB24} , C:\WINDOWS\TEMP\895BFD1F-4C71-4481-9F07-784FB42E01D7\dismhost.exe  {1B090F14-1172-432D-BEB3-0D8891925437} ,Similar
